tweet_id,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,dogs_stage,retweet_count,favorite_count
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,golden_retriever,0.77593,True,tibetan_mastiff,0.0937178,True,labrador_retriever,0.07242660000000001,True,2015-11-16 01:22:45+00:00,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,https://twitter.com/dog_rates/status/666063827256086533,10.0,10,the,None,198,445
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,toy_terrier,0.14968,True,papillon,0.148258,True,chihuahua,0.14286,True,2015-11-17 00:53:15+00:00,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn,https://twitter.com/dog_rates/status/666418789513326592,10.0,10,walter,None,42,115
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,1,dalmatian,0.278954,True,labrador_retriever,0.237612,True,great_pyrenees,0.171106,True,2015-11-17 03:16:00+00:00,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua,https://twitter.com/dog_rates/status/666454714377183233,10.0,10,kreggory,None,200,491
666739327293083650,https://pbs.twimg.com/media/CUC74aTWoAInZey.jpg,1,miniature_poodle,0.546933,True,cocker_spaniel,0.165255,True,toy_poodle,0.0959589,True,2015-11-17 22:06:57+00:00,This is Lugan. He is a Bohemian Rhapsody. Very confused dog. Thinks his name is Rocky. Not amused by the snows 10/10 https://t.co/tI3uFLDHBI,https://twitter.com/dog_rates/status/666739327293083650,10.0,10,lugan,None,62,222
666996132027977728,https://pbs.twimg.com/media/CUGlb6iUwAITEbW.jpg,1,hay,0.507637,False,rottweiler,0.0624899,True,water_buffalo,0.0484247,False,2015-11-18 15:07:24+00:00,This is Carll. He wants to be a donkey. But also a soccer star. Dreams big. 10/10 https://t.co/SVpNbhaIMk,https://twitter.com/dog_rates/status/666996132027977728,10.0,10,carll,None,84,232
667062181243039745,https://pbs.twimg.com/media/CUHhgvHUAAA4aB0.jpg,1,chesapeake_bay_retriever,0.825678,True,vizsla,0.090998,True,kelpie,0.0229562,True,2015-11-18 19:29:52+00:00,This is Keet. He is a Floridian Amukamara. Absolutely epic propeller hat. Pristine tongue. Nice plaid. 10/10 https://t.co/tz1lpuvXLA,https://twitter.com/dog_rates/status/667062181243039745,10.0,10,keet,None,49,209
667073648344346624,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg,1,chihuahua,0.483682,True,pug,0.0924939,True,brabancon_griffon,0.057495400000000016,True,2015-11-18 20:15:26+00:00,Here is Dave. He is actually just a skinny legged seal. Happy birthday Dave. 10/10 https://t.co/DPSamreuRq,https://twitter.com/dog_rates/status/667073648344346624,10.0,10,dave,None,113,379
667119796878725120,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg,1,pembroke,0.741563,True,chihuahua,0.0578659,True,toy_poodle,0.0391251,True,2015-11-18 23:18:48+00:00,This is Gabe. He is a southern Baklava. Gabe has always wanted to fit in with the other bananas. 10/10 fabulous https://t.co/3LZrJzg3BJ,https://twitter.com/dog_rates/status/667119796878725120,10.0,10,gabe,None,123,318
667152164079423490,https://pbs.twimg.com/media/CUIzWk_UwAAfUNq.jpg,1,toy_poodle,0.535411,True,pomeranian,0.08754400000000001,True,miniature_poodle,0.06205,True,2015-11-19 01:27:25+00:00,This is Pipsy. He is a fluffball. Enjoys traveling the sea &amp; getting tangled in leash. 12/10 I would kill for Pipsy https://t.co/h9R0EwKd9X,https://twitter.com/dog_rates/status/667152164079423490,12.0,10,pipsy,None,16111,45671
667160273090932737,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,1,golden_retriever,0.471351,True,miniature_poodle,0.0919921,True,standard_poodle,0.08738539999999999,True,2015-11-19 01:59:39+00:00,This is Bradlay. He is a Ronaldinho Matsuyama mix. Can also mountain bike (wow). Loves that blue light lime. 11/10 https://t.co/DKhgkMx4N1,https://twitter.com/dog_rates/status/667160273090932737,11.0,10,bradlay,None,60,248
